input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase
0.0,0.75,0.5,0.313683049736888,0.6047344689218348,0.0983625877382311,0.5623833033105836
0.0,0.755,0.5,0.01758971199015469,0.556916364881639,0.10465517787401103,0.7095776627906331
0.0,0.76,0.5,0.06051507652259242,0.9712730022001329,0.10374243337969023,0.7237497117467471
0.0,0.765,0.5,0.10013643234852503,0.8392179972417186,0.10128358719617324,0.7681163735877216
0.0,0.77,0.5,0.12255409277520125,0.3614014210262326,0.08990938227060513,0.4447041608896237
0.0,0.775,0.5,0.021477420063147658,0.01717059517624301,0.10623590254413588,0.8004225758943136
0.0,0.78,0.5,0.0829169202760201,0.6278231750763076,0.112060743815969,0.7809646314979695
0.0,0.785,0.5,0.13288105469921882,0.702915830465531,0.1119312023405074,0.7252275861550707
0.0,0.79,0.5,0.16892122726164618,0.1925750763068301,0.10026462675610827,0.6629812789616376
0.0,0.795,0.5,0.16631288174207584,0.5740498808938382,0.09458775300340629,0.6384695293120122
0.0,0.8,0.5,0.0390613043598422,0.49397416431026864,0.10370487278215625,0.7242751736599171
0.0,0.805,0.5,0.1310592127037407,0.2521478686013015,0.11538659979835394,0.8056729175078147
0.0,0.81,0.5,0.12479191390752992,0.7569163648811503,0.09860609949271623,0.6015612308888612
0.0,0.815,0.5,0.1798007894643848,0.4872205940225995,0.09229148186314182,0.5501915378834198
0.0,0.82,0.5,0.09668254838629814,0.5889169220005627,0.10216478553592925,0.6408718422963835
0.0,0.825,0.5,0.08714847161558843,0.3225644782602577,0.09771023513961656,0.6093247573538484
0.0,0.83,0.5,0.06585416689117506,0.8845732897692441,0.10539335169016045,0.6811979262368719
0.0,0.835,0.5,0.12784685988903507,0.3869187328208627,0.0942348789260634,0.5811447164695169
0.0,0.84,0.5,0.12071662760695681,0.2506803067229775,0.10060562144558523,0.7367277282193119
0.0,0.845,0.5,0.15706235739962351,0.409089175646898,0.10190993514735133,0.524599385392218
0.0,0.85,0.5,0.09638558884262798,0.8522307347361424,0.09972207934871555,0.7625389664024329
0.0,0.855,0.5,0.12211577273586573,3.56827500189125e-15,0.09437613002920218,0.7395092632958729
0.0,0.86,0.5,0.03246597968299321,0.8248358317073243,0.09395605688007788,0.6702888352787093
0.0,0.865,0.5,0.04000000000008554,0.9000000000000037,0.1049605773998393,0.6674807110777572
0.0,0.87,0.5,0.1576223342494617,0.04912454661446499,0.1070109441450151,0.7624562738033638
0.0,0.875,0.5,0.10539323730257472,0.9807622514771704,0.09956839374147118,0.6703075980494491
0.0,0.88,0.5,0.08145901704423328,0.46140142102630377,0.09728047098627914,0.4727688254798386
0.0,0.885,0.5,0.24738966817657573,0.6200392330895559,0.10594867232152062,0.6525892886294928
0.0,0.89,0.5,0.26148299104576983,0.2313756942800179,0.10253646052407737,0.40897448276912024
0.0,0.895,0.5,0.08291946160636798,0.7580814195289483,0.10922105246935233,0.6022566307591619
0.0,0.9,0.5,0.03501233103075235,0.8248358317066918,0.10467083027628142,0.6731306273230375
0.0,0.905,0.5,0.07473614755424614,0.19420476586403787,0.09553075864322257,0.6819190174352322
0.0,0.91,0.5,0.04711720831997093,0.4378161734468308,0.08809266075621615,0.5611956597917285
0.0,0.915,0.5,0.18256041085777952,0.5798510341786033,0.10616042503332641,0.6996042567124019
0.0,0.92,0.5,0.03702715814698811,0.687816173447428,0.09625263894951529,0.5361839136620317
0.0,0.925,0.5,0.27341709627445415,0.4999999999998771,0.11140389232500528,0.5998244332858524
0.0,0.93,0.5,0.13115675250585138,0.614003561212288,0.09958608291994425,0.5984635383203888
0.0,0.935,0.5,0.02683879226032493,0.94454269793371,0.0993465844985965,0.017501419830463365
0.0,0.94,0.5,0.017430652372422188,0.4000000000000625,0.09042479249757328,0.5475903491517315
0.0,0.945,0.5,0.03426906855701631,0.3430836351183438,0.1050631845092061,0.5106471494725843
0.0,0.95,0.5,0.2536140641507944,0.5309329919473497,0.10620370981787229,0.6149217508935614
0.0,0.955,0.5,0.33817787039623537,0.8711052970071917,0.10405240053283804,0.771621119175157
0.0,0.96,0.5,0.15842051102835478,0.34616226017710283,0.09326912966766197,0.6711946562423132
0.0,0.965,0.5,0.09693835853564528,0.9878161734465899,0.09196182755501706,0.8014236084500734
0.0,0.97,0.5,0.16620596346469058,0.14769325420125773,0.08936236401272996,0.49585136383284456
0.0,0.975,0.5,0.0751984084687148,0.9663208744005736,0.09764624381903227,0.5279649579038013
0.0,0.98,0.5,0.18848595167387427,0.6352570322560369,0.10028539406945985,0.5383985563510214
0.0,0.985,0.5,0.18354243679493046,0.469846824376006,0.10520436837591535,0.6425799611314759
0.0,0.99,0.5,0.11305876872999349,0.7067265244869191,0.10224961975441058,0.7158800367116358
0.0,0.995,0.5,0.24782892884331967,0.3831921615520402,0.10756483262229077,0.5652206939770767
0.0,1.0,0.5,0.2551482662145249,0.34042880859205044,0.09433026919920522,0.4779562580677227
0.0,1.005,0.5,0.2542818642192319,0.6489622933763597,0.11456547844675842,0.5992495493533307
0.0,1.01,0.5,0.16863586056582006,0.24323325578609079,0.10411246326373401,0.4465906072175656
0.0,1.015,0.5,0.14854453948583587,0.2917149947060932,0.10953571005814837,0.49976181225755156
0.0,1.02,0.5,0.0399006942731021,0.27296582931221025,0.1234803085438767,0.5629621524895221
0.0,1.025,0.5,0.20279304119263825,0.3491958296470507,0.10159311457638055,0.4965517517568078
0.0,1.03,0.5,0.03186326470289938,0.058285005293979,0.09836299274759085,0.6702315462328252
0.0,1.035,0.5,0.2393897565506199,0.6482561150543936,0.10205290005002653,0.5515169053468727
0.0,1.04,0.5,0.06717760747279561,0.6000000000000562,0.10441022266108808,0.5276304460529018
0.0,1.045,0.5,0.17467337243846984,0.8878161734467002,0.10658070527033348,0.48368002027597246
0.0,1.05,0.5,0.1600217608138644,0.7241798086784188,0.10136930740184515,0.6638657166501092
0.0,1.055,0.5,0.10367073237832902,0.5047344689217769,0.1043274687041714,0.5815525376560753
0.0,1.06,0.5,0.17206575174588862,0.8824914727543542,0.09078641227974782,0.6824146210554838
0.0,1.065,0.5,0.140163794851849,0.9401364244880256,0.0871315997061765,0.5573600983399417
0.0,1.07,0.5,0.20917268593420493,0.6702862659960919,0.1019224775667823,0.5753857673653548
0.0,1.075,0.5,0.06258703715710322,0.3499999999998683,0.11256939715715433,0.6061912212379759
0.0,1.08,0.5,0.12436672624990046,0.799999999999813,0.09786976980821335,0.7215345654029734
