pulse_time,phase_shift
0.0,-0.1359223300970878
0.03448275862068918,-0.15533980582524268
0.06896551724137837,-0.18446601941747676
0.10344827586206753,-0.21359223300971084
0.13793103448276017,-0.24271844660194147
0.17241379310344934,-0.26213592233009636
0.20689655172413854,-0.28155339805825474
0.2413793103448277,-0.30097087378640963
0.2758620689655169,-0.3203883495145646
0.3103448275862061,-0.33980582524271946
0.34482758620689524,-0.35922330097087435
0.37931034482758785,-0.37864077669902924
0.4137931034482771,-0.40776699029126334
0.44827586206896625,-0.42718446601941823
0.4827586206896554,-0.4466019417475732
0.5172413793103446,0.4757281553398072
0.5517241379310338,0.42718446601941823
0.586206896551723,0.37864077669902924
0.6206896551724121,0.3203883495145646
0.6551724137931048,0.25242718446602064
0.6896551724137939,0.18446601941747676
0.7241379310344831,0.11650485436893288
0.7586206896551723,0.04854368932038899
0.7931034482758614,0.009708737864079177
0.8275862068965506,0.0
0.8620689655172399,-0.03883495145631326
0.8965517241379325,-0.058252427184468165
0.9310344827586217,-0.09708737864077797
0.9655172413793108,-0.12621359223301204
1.0,-0.14563106796116695
