pulse_time,phase_shift
0.0,-0.020202020202019805
0.034482758620689655,-0.04040404040403961
0.06896551724137931,-0.0707070707070711
0.10344827586206896,-0.09090909090909091
0.13793103448275862,-0.12121212121211881
0.1724137931034483,-0.1414141414141422
0.20689655172413793,-0.17171717171717013
0.2413793103448276,-0.19191919191918994
0.27586206896551724,-0.22222222222222143
0.3103448275862069,-0.25252525252525293
0.3448275862068966,-0.29292929292929254
0.3793103448275898,-0.33333333333333215
0.41379310344827946,-0.37373737373737176
0.44827586206896913,-0.43434343434343475
0.48275862068965875,-0.484848484848486
0.5172413793103484,0.46464646464646264
0.551724137931038,0.4141414141414149
0.5862068965517278,0.3535353535353519
0.6206896551724174,0.30303030303030065
0.6551724137931071,0.25252525252525293
0.6896551724137967,0.22222222222222143
0.7241379310344863,0.19191919191918994
0.758620689655176,0.15151515151515033
0.7931034482758657,0.13131313131313052
0.8275862068965553,0.11111111111111072
0.862068965517245,0.08080808080807922
0.8965517241379346,0.06060606060605941
0.9310344827586243,0.03030303030302791
0.9655172413793139,0.010101010101008107
1.0000000000000036,-0.010101010101008107
