input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase,winding_number
0.0,0.75,0.5,0.07566019541351253,0.7950132313772886,0.22956761097635128,0.6082916857482681,1.318251910872294
0.0,0.755,0.5,0.0569897773245906,0.9203454688922884,0.2201680864873313,0.575638340651673,1.3138466473458417
0.0,0.76,0.5,0.006907546773131982,0.31542671023162666,0.1786330261302556,0.6811594177257677,1.328075510171364
0.0,0.765,0.5,0.02845622502205251,0.7215154070642177,0.18243128491169036,0.6135026776722441,1.2893043021751767
0.0,0.77,0.5,0.030043590918367925,0.7756323468934921,0.1426688146119589,0.7264112115811944,1.3072125934104493
0.0,0.775,0.5,0.0481933791926017,0.8851496558650426,0.0969352072790204,0.8455795659263299,1.2807455726483474
0.0,0.78,0.5,0.04617074199649293,0.7651104227757847,0.09747534175945263,0.8157798295371966,1.2693346132681664
0.0,0.785,0.5,0.025117039052631757,0.5594390802907406,0.15984296319575017,0.5612066888052079,1.2641025654402827
0.0,0.79,0.5,0.019077002450597073,0.5621838265534024,0.1180896939117685,0.6778756035668221,1.2556078521671474
0.0,0.795,0.5,0.05928103919619328,0.5800437975052877,0.11976645760412288,0.6144973334922359,1.2687446369266149
0.0,0.8,0.5,0.0735247126550936,0.5865514796597083,0.08400601990051873,0.7497654016440075,1.2389976930891817
0.0,0.805,0.5,0.04861155125001732,0.07563234689312473,0.06497181350929597,0.8504207741412959,1.2338761752745604
0.0,0.81,0.5,0.03371021417169279,0.5345732897695377,0.06304214857573931,0.790601661896712,1.1999439689974383
0.0,0.815,0.5,0.034116447975991664,0.3789916650013212,0.096927805859608,0.5596673841189059,1.210209397017719
0.0,0.82,0.5,0.05520157240066903,0.5789916650016722,0.07883701564253828,0.5778643548969118,1.2062026146495304
0.0,0.825,0.5,0.012612938545953177,2.478203148180432e-13,0.07154332870889293,0.6447827442431278,1.2009884294256628
0.0,0.83,0.5,0.09572842849690698,0.23183578514973582,0.05681192807324624,0.6530099588655667,1.1880795248747775
0.0,0.835,0.5,0.12863537471780206,0.6585103453490702,0.05921946062599016,0.6076387562543155,1.1864705901160086
0.0,0.84,0.5,0.1276059621373824,0.45181973465898656,0.04522813301453883,0.7366581967658605,1.1788907313342172
0.0,0.845,0.5,0.07660586760814914,0.28457328976966445,0.053977309306678656,0.5463940030265924,1.1494332385985397
0.0,0.85,0.5,0.05052510667482931,0.722965829311928,0.046958923399284,0.5614192805080247,1.116568071555225
0.0,0.855,0.5,0.03302110181124102,0.09999999999969103,0.05517570357259016,0.5257779625049843,1.156752798704037
0.0,0.86,0.5,0.020408163265272814,0.20000000000045093,0.04700180870701218,0.25188018317238625,1.1501363726596783
0.0,0.865,0.5,0.04385634983162818,0.6270341706883202,0.0448108143807231,0.6782821481087494,1.140956509516504
0.0,0.87,0.5,0.06155367074353657,0.3500000000000094,0.04471352021314328,0.0899844020947219,1.137395705980477
0.0,0.875,0.5,0.035473158228543425,0.9078554065361225,0.04182437551880728,0.5411669000860355,1.1525690529440844
0.0,0.88,0.5,0.06060798484484889,0.37296582931223454,0.040496808347201284,0.6006103444622213,1.1227778138244286
0.0,0.885,0.5,0.02447018007986354,0.6184593664111758,0.040468960651628354,0.39018743784575205,1.116427355349471
0.0,0.89,0.5,0.0688513661829752,0.11717059517645304,0.03853319267051214,0.6372262693594714,1.1119037128521403
0.0,0.895,0.5,0.09213549140275071,0.6871797082866474,0.04008728775638782,0.6878537417272951,1.1049427147628947
0.0,0.9,0.5,0.03749511129473915,0.8763538639644093,0.04528736846720084,0.6751841460066192,1.1003459810616154
