post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
201.6,0.09999999999999432,0.6185479850878107,180.54,0.539999999999992,0.7181631983924488
202.63,0.12999999999999545,0.5260468534877499,181.55,0.5500000000000114,0.7159204913589081
203.67,0.1699999999999875,0.4445327624641033,182.55,0.5500000000000114,0.7216432801103027
204.71,0.21000000000000796,0.3739864299265469,183.56,0.5600000000000023,0.7183119902575918
205.76,0.2599999999999909,0.34698953320281656,184.56,0.5600000000000023,0.7145237472865331
206.81,0.3100000000000023,0.3173801998628621,185.56,0.5600000000000023,0.7182526174430623
207.87,0.37000000000000455,0.33874291128754813,186.55,0.5500000000000114,0.7117946895191757
208.92,0.4199999999999875,0.36683712042876626,187.55,0.5500000000000114,0.7103425452244094
209.95,0.44999999999998863,0.40382877438805576,188.55,0.5500000000000114,0.7125516376522301
210.98,0.47999999999998977,0.4378291463414554,189.55,0.5500000000000114,0.7275332799938575
212.0,0.5,0.4822076634840446,190.54,0.539999999999992,0.7296755025564893
212.99,0.4900000000000091,0.5043504924265864,191.55,0.5500000000000114,0.7196492664465031
214.01,0.5099999999999909,0.5253263752411024,192.55,0.5500000000000114,0.7107512468743831
215.01,0.5099999999999909,0.5618420003511265,193.55,0.5500000000000114,0.7126891667535901
216.02,0.5200000000000102,0.5930561074118933,194.55,0.5500000000000114,0.7154846968718117
217.02,0.5200000000000102,0.6064992642554734,195.56,0.5600000000000023,0.7109659565173636
218.02,0.5200000000000102,0.6217633353816214,196.55,0.5500000000000114,0.7180837755035213
219.03,0.5300000000000011,0.6345816487099605,197.55,0.5500000000000114,0.7237160749541391
220.03,0.5300000000000011,0.6457230536188051,198.56,0.5600000000000023,0.7146778915045612
221.03,0.5300000000000011,0.6494569258655059,199.56,0.5600000000000023,0.7139493988951239
