pulse_time,phase_shift
0.0,0.0
0.03448275862069123,-0.02970297029702737
0.06896551724137895,-0.06930693069306973
0.10344827586207019,-0.07920792079207768
0.1379310344827579,-0.11881188118811652
0.17241379310344912,-0.128712871287128
0.20689655172413685,-0.1485148514851474
0.24137931034482807,-0.16831683168316683
0.2758620689655158,-0.18811881188118623
0.310344827586207,-0.20792079207920566
0.34482758620689824,-0.21782178217821713
0.37931034482758597,-0.2277227722772286
0.4137931034482772,-0.24752475247524802
0.4482758620689649,-0.24752475247524802
0.48275862068965614,-0.26732673267326745
0.5172413793103439,-0.26732673267326745
0.5517241379310351,-0.28712871287128683
0.5862068965517228,-0.30693069306930626
0.620689655172414,-0.4158415841584148
0.6551724137931018,0.46534653465346515
0.6896551724137929,0.33663366336633715
0.7241379310344842,0.23762376237623653
0.7586206896551719,0.1980198019801977
0.7931034482758632,0.15841584158415886
0.8275862068965508,0.13861386138613946
0.8620689655172421,0.0990099009900971
0.8965517241379298,0.07920792079207768
0.9310344827586211,0.03960396039603884
0.9655172413793087,0.009900990099007951
1.0,0.0
