time,phase_shift
1.79429983777804e-15,-0.18181818181818274
0.03448275862069145,-0.2828282828282843
0.0689655172413811,-0.2525252525252538
0.10344827586207075,-0.1919191919191929
0.13793103448276042,-0.17171717171717263
0.1724137931034501,-0.31313131313131476
0.20689655172413973,-0.262626262626264
0.24137931034482937,-0.3838383838383858
0.275862068965519,-0.3636363636363655
0.3103448275862087,-0.44444444444444675
0.34482758620689835,-0.41414141414141625
0.37931034482758796,-0.4343434343434366
0.41379310344827763,-0.44444444444444675
0.4482758620689673,0.5353535353535381
0.4827586206896569,-0.48484848484848736
0.5172413793103466,0.525252525252528
0.5517241379310363,0.4545454545454569
0.5862068965517259,0.4343434343434366
0.6206896551724156,0.31313131313131476
0.6551724137931052,0.34343434343434526
0.6896551724137949,0.41414141414141625
0.7241379310344845,0.23232323232323354
0.7586206896551742,0.3030303030303046
0.7931034482758639,0.14141414141414216
0.8275862068965535,0.10101010101010154
0.8620689655172431,0.131313131313132
0.8965517241379328,0.08080808080808123
0.9310344827586224,0.0
0.965517241379312,-0.08080808080808123
1.0000000000000018,-0.05050505050505077
