input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase
0.0,0.75,0.5,0.1264531579626201,0.9785600843277784,0.09874834971998574,0.02697518466395127
0.0,0.755,0.5,0.0742134657565124,0.5500000000001422,0.09830358538464641,0.6601894118306135
0.0,0.76,0.5,0.13941226854773467,0.523221044743775,0.0985637390184289,0.5154003850881459
0.0,0.765,0.5,0.06352586805876219,0.6259501191069923,0.10725089907076985,0.6953171358849628
0.0,0.77,0.5,0.07701941777266356,0.49999999999987516,0.10810782433280598,0.6625399084529422
0.0,0.775,0.5,0.07344483162094623,0.14117549155436115,0.08947355381090781,0.763036054870134
0.0,0.78,0.5,0.09140629284186896,0.42703417068799443,0.10111966058587966,0.5530312640041937
0.0,0.785,0.5,0.11097964106902071,0.46687298535286925,0.09552438674244665,0.393080920644792
0.0,0.79,0.5,0.09841730918104005,0.054068341376002194,0.08909860844053025,0.8012210248390991
0.0,0.795,0.5,0.1327102481043764,0.7596691148008741,0.10715337676314787,0.5880154242847148
0.0,0.8,0.5,0.16854597190188356,0.1270341706881556,0.10598138474701374,0.9323433550045653
0.0,0.805,0.5,0.08713016525355642,0.2743676531061557,0.10622919413824315,0.8650760805610164
0.0,0.81,0.5,0.05518952009011802,0.4328294048239143,0.10689036396673735,0.7587653650748353
0.0,0.815,0.5,0.11628225501935273,0.6963474410749692,0.10898728601320741,0.5664729472145001
0.0,0.82,0.5,0.05062887172908328,0.2588245084456983,0.11284255971008325,0.5489751174871581
0.0,0.825,0.5,0.06560551260090357,0.47296582931226006,0.09987370320831938,0.6099423068637335
0.0,0.83,0.5,0.06951273171862112,0.6845732897691286,0.09799501270691355,0.1866749669735223
0.0,0.835,0.5,0.018515135490276502,0.10000000000048438,0.10863586610082784,0.5972764316249832
0.0,0.84,0.5,0.054447710204393034,0.01625216792934218,0.10870879660608448,0.5359316480444118
0.0,0.845,0.5,0.2548855408279958,0.25000000000003664,0.09796316692642189,0.2176783503341201
0.0,0.85,0.5,0.1419605100176956,0.22648115764858667,0.09837554999561075,0.39779643333600334
0.0,0.855,0.5,0.1662094096179575,0.5052114397354391,0.093388896167936,0.5931579329543946
0.0,0.86,0.5,0.062232076490461495,0.29999999999964017,0.11060662946867318,0.5792195716545191
0.0,0.865,0.5,0.08681842442810205,0.7180842873879836,0.10314609176897736,0.6908000340966647
0.0,0.87,0.5,0.1943470791662074,0.16995620249464494,0.09689955050740043,0.08397054714530555
0.0,0.875,0.5,0.16611871288625998,0.4714952990463348,0.09795846884777318,0.4911679925848097
0.0,0.88,0.5,0.13450465078722296,0.3979290618429294,0.11079145871473312,0.5903400427355265
0.0,0.885,0.5,0.06204569491846967,0.800000000000142,0.10673733950193781,0.5407143900791251
0.0,0.89,0.5,0.05824007239334021,0.43781617344724827,0.08903014366751234,0.6724676225054097
0.0,0.895,0.5,0.045486338879723816,0.36632087439986494,0.09683623138965912,0.7897876141290108
0.0,0.9,0.5,0.17318049978418887,0.7741526425053821,0.0922144820209759,0.6619703140546043
0.0,0.905,0.5,0.2057367762793739,0.852800556762525,0.09878501871919267,0.7985293721758968
0.0,0.91,0.5,0.17069367515636108,0.4389424598464207,0.09344297608393269,0.4283316467113218
0.0,0.915,0.5,0.05400665169217785,0.5867520733243484,0.09173147290955135,0.6202042178945586
0.0,0.92,0.5,0.05211396688177933,0.09454269793319041,0.10444635980883425,0.4833616629080803
0.0,0.925,0.5,0.13620387500715134,0.2378161734465185,0.08753552455207796,0.37325544875141087
0.0,0.93,0.5,0.07558896017069908,0.6270341706878371,0.10857607175926352,0.5064812388754714
0.0,0.935,0.5,0.09115824784824408,0.4052674616719634,0.09644499768889546,0.5371755638411755
0.0,0.94,0.5,0.22791575011471304,0.23781617344674574,0.08657303064241338,0.3039720316113263
0.0,0.945,0.5,0.19877515147231561,0.24494969963718982,0.09477679304883704,0.2932708338235082
0.0,0.95,0.5,0.2538053833545212,0.4726502013811249,0.09494611863290453,0.4921488760998685
0.0,0.955,0.5,0.09796856075867771,0.6125695044171914,0.09790006598444145,0.6076061513019679
0.0,0.96,0.5,0.1123248162090691,0.6902243469664608,0.11151025325775343,0.619339714105062
0.0,0.965,0.5,0.14276149632543206,0.9119191593518968,0.08576125760012827,0.7761198880739519
0.0,0.97,0.5,0.013943290258121237,0.8430836351187102,0.09098247094258977,0.41742820587745993
0.0,0.975,0.5,0.0628088744193082,0.7248358317074255,0.09387650742557747,0.5727807688257684
0.0,0.98,0.5,0.18866898971799737,0.6663208744004512,0.09487439590377682,0.6050030107369515
0.0,0.985,0.5,0.1872931838533653,0.0026203604199307915,0.08602910507913282,0.05994907026784743
0.0,0.99,0.5,0.1729864731064653,0.3045909134681503,0.09748232040962332,0.43275270918517067
0.0,0.995,0.5,0.27615677551183376,0.424471869549268,0.08402092323926307,0.42877854528252335
0.0,1.0,0.5,0.31054311917979616,0.5736852270533865,0.0987271724323333,0.4975997154845288
0.0,1.005,0.5,0.2756198122740048,0.5356529578089919,0.08768537429808204,0.5009664276668656
0.0,1.01,0.5,0.1586666290184205,0.4692792971785607,0.11921491616565183,0.4675740589797404
0.0,1.015,0.5,0.12030712727874351,0.8442566526137388,0.10814318373069752,0.648007564883808
0.0,1.02,0.5,0.11873079676729614,0.18205500495870547,0.09388941221901627,0.5629991236453578
0.0,1.025,0.5,0.05041015983124681,0.4417149947058222,0.08338297807519585,0.55788215946152
0.0,1.03,0.5,0.3097045228030376,0.7348669422422397,0.1002249138899703,0.6289110205996151
0.0,1.035,0.5,0.04997584050576872,0.07296582931206949,0.09120123846309024,0.4985234170123045
0.0,1.04,0.5,0.08867678887482087,0.39123573979445025,0.09188243533886495,0.47504481394021103
0.0,1.045,0.5,0.19994994732496313,0.8932734755131364,0.10606904413500538,0.5298771555974193
0.0,1.05,0.5,0.0563940454262378,0.23099604876634933,0.0954711851087798,0.524665016759448
