post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
52.08,0.5799999999999983,0.10752678711900034,30.73,0.7300000000000004,0.10318415359157264
53.22,0.7199999999999989,0.10823108285464361,31.72,0.7199999999999989,0.10401248390078639
54.23,0.7299999999999969,0.10636553647987394,32.75,0.75,0.10439187129878705
55.27,0.7700000000000031,0.10538637108527119,33.76,0.759999999999998,0.10437385360679387
56.28,0.7800000000000011,0.10399572784877209,34.76,0.759999999999998,0.10333181381517469
57.27,0.7700000000000031,0.10388197071203463,35.78,0.7800000000000011,0.1032562897692712
58.27,0.7700000000000031,0.10390914876036458,36.77,0.7700000000000031,0.10406903363882497
59.25,0.75,0.10447158218551449,37.76,0.759999999999998,0.10418094268623782
60.26,0.759999999999998,0.10408010506722885,38.72,0.7199999999999989,0.10375178722447705
61.25,0.75,0.1035727427666417,39.76,0.759999999999998,0.10405670538590703
62.23,0.7299999999999969,0.10417184167883353,40.77,0.7700000000000031,0.10445629760833625
63.23,0.7299999999999969,0.10389690164773081,41.72,0.7199999999999989,0.10402892539262629
64.22,0.7199999999999989,0.10409823251217873,42.76,0.759999999999998,0.10452913218605853
65.26,0.7600000000000051,0.1037830338717769,43.75,0.75,0.10511696961778112
66.26,0.7600000000000051,0.10420279934177808,44.76,0.759999999999998,0.10352217043176912
67.22,0.7199999999999989,0.10385340822600263,45.75,0.75,0.10340555773618587
68.24,0.7399999999999949,0.10459920643983613,46.69,0.6899999999999977,0.1039001814971679
69.21,0.7099999999999937,0.10488804094260223,47.75,0.75,0.10349243484091555
70.23,0.730000000000004,0.10506814464116668,48.73,0.7299999999999969,0.1042044975992948
71.23,0.730000000000004,0.1043680561237817,49.74,0.740000000000002,0.10480387317759386
