post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
51.82,0.3200000000000003,0.09854332126121296,30.76,0.7600000000000016,0.09956898928276121
52.86,0.35999999999999943,0.09757211371316271,31.77,0.7699999999999996,0.09955318433642489
53.91,0.4099999999999966,0.09712209695150084,32.76,0.759999999999998,0.09970411627014565
54.98,0.4799999999999969,0.09706557930326004,33.76,0.759999999999998,0.09965725111960497
56.08,0.5799999999999983,0.09710412410378785,34.75,0.75,0.09969672104868658
57.12,0.6199999999999974,0.0977056674568772,35.76,0.759999999999998,0.09979147391016867
58.14,0.6400000000000006,0.09815529321861689,36.74,0.740000000000002,0.09943171086686985
59.15,0.6499999999999986,0.09839654361408204,37.75,0.75,0.09948194325924163
60.16,0.6599999999999966,0.09848207136179771,38.75,0.75,0.09933693965301496
61.19,0.6899999999999977,0.09876753914833611,39.74,0.740000000000002,0.09997856068516398
62.2,0.7000000000000028,0.09887659320728584,40.75,0.75,0.09995919959080798
63.2,0.7000000000000028,0.09900075121326712,41.76,0.759999999999998,0.0997897302147362
64.22,0.7199999999999989,0.09937265454733465,42.76,0.759999999999998,0.09974179992081758
65.23,0.730000000000004,0.09928489357702118,43.74,0.740000000000002,0.09969630112183561
66.22,0.7199999999999989,0.09933795533845176,44.73,0.7299999999999969,0.09954501547011176
67.23,0.730000000000004,0.09921299762861019,45.75,0.75,0.0996317152286405
68.24,0.7399999999999949,0.09924028665268653,46.74,0.740000000000002,0.09962483661774904
69.23,0.730000000000004,0.09934241654684599,47.74,0.740000000000002,0.09918893626502606
70.24,0.7399999999999949,0.099297591799056,48.74,0.740000000000002,0.09945409442096736
71.26,0.7600000000000051,0.09925859506927683,49.76,0.759999999999998,0.09942355685397467
