post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
51.85,0.3500000000000014,0.10355508225669924,30.75,0.75,0.10511334827050157
52.95,0.45000000000000284,0.10224620811883711,31.75,0.75,0.10534900698607354
54.04,0.5399999999999991,0.10208407805738774,32.74,0.740000000000002,0.10540211889779277
55.1,0.6000000000000014,0.10241321560000888,33.74,0.740000000000002,0.10549080752407447
56.13,0.6300000000000026,0.10320595649523925,34.75,0.75,0.10545285889349601
57.16,0.6599999999999966,0.10374172093593995,35.75,0.75,0.10511355696003599
58.17,0.6700000000000017,0.10403047894323421,36.76,0.759999999999998,0.10542453149575981
59.19,0.6899999999999977,0.10439944840380716,37.75,0.75,0.10535204288345765
60.2,0.7000000000000028,0.10468916936690806,38.75,0.75,0.1053663295089842
61.22,0.7199999999999989,0.10488420404692095,39.74,0.740000000000002,0.10561149739264197
62.23,0.7299999999999969,0.1046923262537443,40.75,0.75,0.10545734356307099
63.24,0.740000000000002,0.1048983977068689,41.75,0.75,0.10549309460140271
64.23,0.730000000000004,0.10489352391275086,42.75,0.75,0.10545836642890745
65.24,0.7399999999999949,0.10531974470638278,43.75,0.75,0.10575769398250497
66.23,0.730000000000004,0.10522249831567575,44.75,0.75,0.10578750727051517
67.24,0.7399999999999949,0.10534387801134412,45.75,0.75,0.10574035026534102
68.25,0.75,0.10537321147332841,46.76,0.759999999999998,0.10575981526310946
69.25,0.75,0.10555971987640848,47.74,0.740000000000002,0.10544015802707354
70.25,0.75,0.10528902881054095,48.76,0.759999999999998,0.10500950061768399
71.24,0.7399999999999949,0.10510915075598394,49.75,0.75,0.10519698548246292
