post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
51.93,0.4299999999999997,0.10877561796734908,30.75,0.75,0.10995245368224048
53.04,0.5399999999999991,0.10958683487581844,31.75,0.75,0.11019768646554626
54.12,0.6199999999999974,0.110471700419758,32.76,0.759999999999998,0.10958598413910411
55.17,0.6700000000000017,0.1108184217749778,33.75,0.75,0.10983792056297872
56.2,0.7000000000000028,0.1109758904300041,34.76,0.759999999999998,0.11000106147541927
57.23,0.7299999999999969,0.11097099879325671,35.75,0.75,0.10988649425988431
58.24,0.740000000000002,0.11026660466089559,36.74,0.740000000000002,0.10994144682575042
59.25,0.75,0.11016618864723474,37.75,0.75,0.10983053051882759
60.25,0.75,0.11004841542400358,38.74,0.740000000000002,0.11003496139513431
61.26,0.759999999999998,0.10977335441711115,39.74,0.740000000000002,0.11002396199250908
62.25,0.75,0.10954144580091227,40.75,0.75,0.11009915371549489
63.25,0.75,0.10937742962601166,41.75,0.75,0.11003795728969173
64.25,0.75,0.10966641536660297,42.75,0.75,0.11008408457412372
65.25,0.75,0.10982999438648575,43.75,0.75,0.10964507567700733
66.24,0.7399999999999949,0.1100984184381325,44.74,0.740000000000002,0.10988580343991247
67.24,0.7399999999999949,0.1097269829588035,45.74,0.740000000000002,0.10973120571927229
68.24,0.7399999999999949,0.10997079290714623,46.74,0.740000000000002,0.10973927355407809
69.25,0.75,0.11024382071887187,47.76,0.759999999999998,0.10971668140856455
70.25,0.75,0.11008496247901753,48.75,0.75,0.10983708562433336
71.25,0.75,0.11013154551019762,49.75,0.75,0.10975829547496245
