post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
51.78,0.28000000000000114,0.10834604326922667,30.75,0.75,0.10913594208246445
52.79,0.28999999999999915,0.10793990860884108,31.75,0.75,0.1091233115064499
53.8,0.29999999999999716,0.10780489082933689,32.75,0.75,0.10911366430292962
54.81,0.3100000000000023,0.10773508006851573,33.75,0.75,0.10906786929222852
55.82,0.3200000000000003,0.10772612692861788,34.75,0.75,0.10907494992527852
56.83,0.3299999999999983,0.10772189165037072,35.75,0.75,0.10910484592549669
57.84,0.3400000000000034,0.10770926255173859,36.75,0.75,0.10910681026685394
58.86,0.35999999999999943,0.10764987148502093,37.75,0.75,0.10910180732802104
59.87,0.36999999999999744,0.10761463851869353,38.75,0.75,0.10907013768709678
60.89,0.39000000000000057,0.1074902210548305,39.75,0.75,0.10908722945031724
61.9,0.3999999999999986,0.10745253750412614,40.75,0.75,0.10910215261053981
62.92,0.4200000000000017,0.10734418695847134,41.75,0.75,0.10912347771247624
63.94,0.4399999999999977,0.10721047061728355,42.75,0.75,0.10914528605696751
64.96,0.45999999999999375,0.10705129940377378,43.75,0.75,0.10911057764344041
65.98,0.480000000000004,0.10693925494317849,44.75,0.75,0.1091339136861552
67.0,0.5,0.10682775783490275,45.75,0.75,0.10910112258461242
68.02,0.519999999999996,0.10675046818511279,46.75,0.75,0.10908817912296219
69.04,0.5400000000000063,0.10672017730143327,47.75,0.75,0.10908562904000968
70.06,0.5600000000000023,0.1067324032150025,48.75,0.75,0.10906252326266107
71.08,0.5799999999999983,0.10675418204063605,49.75,0.75,0.1090677417131371
