day,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
-5.0,0.008000631769401911,-0.005997155300613788,0.0019993682306032046,0.008000631769390532,0.0,0.010000000000002285,0.011996203587021415,2.831068712794149e-15,0.009999999999996623,-0.0060003159445895515
-4.0,-0.0019993682306032046,-0.005997155300613788,-0.008000631769401911,-0.0019993682306003735,0.0,-2.831068712794149e-15,0.011996203587021415,-0.010000000000002285,0.009999999999996623,0.003999684055415564
-3.0,-0.0019993682306032046,-0.005997155300613788,0.0019993682306032046,-0.0019993682306003735,0.0,-0.009999999999993736,0.0019962035870305095,2.831068712794149e-15,5.717648576819556e-15,-0.0060003159445895515
-2.0,-0.0019993682306032046,0.004002844699377117,0.0019993682306032046,-0.0019993682306003735,0.0,-2.831068712794149e-15,-0.008003796412974606,2.831068712794149e-15,-0.009999999999999398,0.003999684055415564
-1.0,-0.0019993682306032046,0.014002844699382233,0.0019993682306032046,-0.0019993682306003735,0.0,-2.831068712794149e-15,-0.018003796412979722,0.009999999999993736,-0.009999999999999398,0.003999684055415564
1.0,-0.36199936823060264,-0.3359971553006263,-0.3280006317694093,-0.3419993682306038,-0.3400000000000034,-0.34999999999999715,-0.35800379641298313,-0.3500000000000057,-0.3300000000000068,-0.35600031594458387
2.0,-0.2519993682306032,-0.23599715530061777,-0.20800063176940475,-0.23199936823060435,-0.23000000000000398,-0.23999999999999772,-0.23800379641297859,-0.24000000000000626,-0.22000000000000736,-0.23600031594459353
3.0,-0.1719993682306049,-0.15599715530061947,-0.13800063176939736,-0.15199936823060606,-0.1700000000000017,-0.17000000000000454,-0.1580037964129803,-0.16000000000000797,-0.14999999999999997,-0.17600031594459126
4.0,-0.12199936823060775,-0.10599715530062231,-0.0880006317694002,-0.1019993682306089,-0.10999999999999943,-0.11000000000000226,-0.09800379641297802,-0.1000000000000057,-0.10000000000000281,-0.1260003159445941
5.0,-0.0819993682306015,-0.07599715530062118,-0.05800063176939907,-0.06199936823060265,-0.06999999999999318,-0.06999999999999601,-0.058003796412971764,-0.07000000000000456,-0.05000000000000565,-0.08600031594458785
6.0,-0.05199936823060036,-0.04599715530062004,-0.03800063176940305,-0.03199936823060151,-0.04999999999999716,-0.04999999999999999,-0.03800379641297574,-0.04000000000000342,-0.02999999999999542,-0.06600031594459183
7.0,-0.03199936823060434,-0.035997155300614925,-0.018000631769407027,-0.01199936823060549,-0.01999999999999602,-0.030000000000003968,-0.018003796412979722,-0.0200000000000074,-0.009999999999999398,-0.03600031594459069
8.0,-0.021999368230599226,-0.015997155300618904,-0.018000631769407027,-0.01199936823060549,0.0,-0.019999999999998852,-0.008003796412974606,2.831068712794149e-15,-0.009999999999999398,-0.016000315944580457
9.0,-0.021999368230599226,-0.005997155300613788,-0.008000631769401911,-0.01199936823060549,0.0,-0.009999999999993736,0.0019962035870305095,0.009999999999993736,-0.009999999999999398,-0.016000315944580457
10.0,-0.01199936823059411,0.004002844699377117,-0.008000631769401911,-0.0019993682306003735,0.0,-0.009999999999993736,0.02199620358702653,0.009999999999993736,0.009999999999996623,-0.016000315944580457
11.0,0.008000631769401911,0.004002844699377117,0.0019993682306032046,-0.01199936823060549,0.0,-2.831068712794149e-15,0.02199620358702653,0.009999999999993736,0.009999999999996623,0.003999684055415564
12.0,-0.0019993682306032046,-0.005997155300613788,0.0019993682306032046,-0.0019993682306003735,0.0,-0.009999999999993736,0.011996203587021415,0.019999999999998852,0.009999999999996623,0.003999684055415564
13.0,0.008000631769401911,0.004002844699377117,0.0019993682306032046,0.008000631769390532,-0.009999999999990905,-2.831068712794149e-15,0.011996203587021415,0.009999999999993736,5.717648576819556e-15,0.003999684055415564
14.0,0.008000631769401911,0.004002844699377117,0.0019993682306032046,0.008000631769390532,-0.009999999999990905,0.010000000000002285,0.0019962035870305095,2.831068712794149e-15,0.009999999999996623,-0.0060003159445895515
15.0,-0.0019993682306032046,0.004002844699377117,0.01199936823059411,0.008000631769390532,-0.009999999999990905,0.010000000000002285,0.0019962035870305095,2.831068712794149e-15,0.009999999999996623,-0.0060003159445895515
16.0,-0.0019993682306032046,0.004002844699377117,0.021999368230599226,-0.0019993682306003735,0.0,-2.831068712794149e-15,0.011996203587021415,2.831068712794149e-15,5.717648576819556e-15,-0.0060003159445895515
17.0,-0.0019993682306032046,0.004002844699377117,0.021999368230599226,-0.0019993682306003735,-0.009999999999990905,-0.019999999999998852,0.0019962035870305095,2.831068712794149e-15,5.717648576819556e-15,-0.016000315944580457
18.0,-0.0019993682306032046,0.014002844699382233,0.01199936823059411,-0.0019993682306003735,-0.01999999999999602,-0.009999999999993736,0.0019962035870305095,2.831068712794149e-15,0.009999999999996623,-0.0060003159445895515
19.0,-0.0019993682306032046,0.004002844699377117,0.01199936823059411,-0.0019993682306003735,-0.030000000000001137,-0.009999999999993736,0.011996203587021415,2.831068712794149e-15,0.009999999999996623,0.003999684055415564
20.0,-0.0019993682306032046,-0.005997155300613788,0.01199936823059411,0.008000631769390532,-0.009999999999990905,-2.831068712794149e-15,0.02199620358702653,0.009999999999993736,0.02000000000000174,0.003999684055415564
