pulse_time,phase_shift
0.0,-0.039603960396038695
0.03448275862069111,-0.06930693069306597
0.06896551724138222,-0.09900990099009675
0.10344827586206981,-0.12871287128712752
0.13793103448276092,-0.16831683168316622
0.1724137931034485,-0.198019801980197
0.20689655172413962,-0.22772277227722426
0.24137931034482724,-0.2673267326732665
0.27586206896551835,-0.28712871287128583
0.31034482758620946,-0.3267326732673245
0.344827586206897,-0.3663366336633632
0.37931034482758813,-0.396039603960394
0.41379310344827575,-0.4356435643564327
0.44827586206896686,-0.4752475247524714
0.48275862068965447,0.4554455445544521
0.5172413793103455,0.4257425742574248
0.5517241379310367,0.3861386138613826
0.5862068965517243,0.3465346534653439
0.6206896551724154,0.3267326732673245
0.655172413793103,0.28712871287128583
0.689655172413794,0.25742574257425505
0.7241379310344817,0.21782178217821635
0.7586206896551728,0.17821782178217765
0.7931034482758639,0.13861386138613543
0.8275862068965515,0.10891089108910817
0.8620689655172425,0.05940594059405805
0.8965517241379302,0.029702970297027266
0.9310344827586213,0.0
0.9655172413793089,0.0
1.0,-0.029702970297027266
