input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase,phase_coherence_n1,mean_phase_n1,phase_coherence_population_n1,collective_phase_n1,phase_coherence_n10,mean_phase_n10,phase_coherence_population_n10,collective_phase_n10,phase_coherence_n100,mean_phase_n100,phase_coherence_population_n100,collective_phase_n100
0.0,0.75,0.5,0.06255719730558533,0.9013889606902462,0.03051076420828473,0.23974974059961718,0.05458707147134468,0.4957205120956969,NaN,NaN,0.07884983654653548,0.47541335352359115,NaN,NaN,0.07992116306835131,0.4224495312899502,0.10222594509822705,0.29066001714421225
0.0,0.755,0.5,0.06599603015553922,0.9655510329326152,0.033037203281909316,0.9069257298496775,0.05426349527477337,0.4943856379346106,NaN,NaN,0.08215156155852485,0.525165432934736,0.32427634069082495,0.4949581214153712,0.07069501899596563,0.5038064023182917,0.1042380532067148,0.41250592554812915
0.0,0.76,0.5,0.05118415866155673,0.02833400890215128,0.03182926015840209,0.6485619786427415,0.05479465368907138,0.5062372408347491,NaN,NaN,0.07216773797941808,0.5219551497783458,0.3373886561389244,0.48981719782927896,0.07197517811293207,0.36935018724486485,0.09988540849471414,0.6417544842518097
0.0,0.765,0.5,0.04556085940451721,0.8369979356571984,0.03635985046521628,0.07676490994978973,0.056080728651041155,0.5034854182921616,NaN,NaN,0.06977703712457305,0.4807371601847539,0.3332778690174854,0.4897057821327898,0.08641082733943438,0.5425311788666345,0.10437888487810429,0.5227192131346621
0.0,0.77,0.5,0.06595580688197608,0.9944183752314242,0.026950875265441192,0.6497571955828596,0.05712393687479434,0.5181442646099451,NaN,NaN,0.08338612289799872,0.5137676302907588,0.3356939440454236,0.5613602039597274,0.07887614329436222,0.5460780121019914,0.10080999052222943,0.6472019721223085
0.0,0.775,0.5,0.10684508673255311,0.3999999999996643,0.03159089654278508,0.32206406834385687,0.05777393123782493,0.48561431691391793,NaN,NaN,0.07802966970509945,0.48741070827542166,0.3283382003480668,0.5009220832013538,0.07328335397006468,0.5180374840738461,0.10162405236704275,0.47667579510059754
0.0,0.78,0.5,0.07860944114464175,0.9557952341358501,0.031952255357225776,0.1516188698959933,0.05750254860110731,0.5101757074420392,NaN,NaN,0.08428538269450453,0.4751170689754984,0.31824326339768527,0.48870378593108266,0.07257354663581708,0.4645949282175734,0.1005809580565771,0.3700783257275594
0.0,0.785,0.5,0.0499254617149408,0.9874304955828259,0.03149931152407378,0.8854218392968246,0.05732163647421809,0.5047190286566059,NaN,NaN,0.08293505594473449,0.4590551148437168,0.3349175079188086,0.5128633064913659,0.08191895395471072,0.4675963416808916,0.10565932384261818,0.48407930933878995
0.0,0.79,0.5,0.034004448086140546,0.1575391190818576,0.03159559273144179,0.5315783775988063,0.05934495925309498,0.48852476985576176,NaN,NaN,0.08717045884450857,0.5156769894964089,0.3285306198593217,0.48787191195714086,0.062426203601861095,0.3753329377711868,0.09958976077810935,0.34639976490153435
0.0,0.795,0.5,0.004094063077398579,0.837816173445452,0.035313738885067426,0.13132424996244213,0.060295227619057985,0.4926166176665851,NaN,NaN,0.07902477773950065,0.4774314766378793,0.322149131135347,0.4944519266808319,0.09015431094431067,0.5473631519118258,0.10192144033849981,0.5496378495977436
0.0,0.8,0.5,0.11257888396649932,0.39999999999974145,0.04050681419296307,0.5342272213377692,0.06072154016591401,0.5108482839275291,NaN,NaN,0.082398545895703,0.543143786422435,0.3190444543699488,0.5122819077223744,0.09357857764512627,0.4471571939109344,0.10290638361812499,0.5051752253461949
0.0,0.805,0.5,0.11479171246368346,0.1759501191063625,0.02963269220537691,0.5698418279489136,0.06094394670014664,0.4988292784883448,NaN,NaN,0.0798972979695698,0.4815340293299885,0.31871677248875274,0.5460181577413125,0.0808365553986012,0.44891863541155025,0.09754793874811071,0.3543552630189871
0.0,0.81,0.5,0.09281156819419473,0.1486436235977404,0.03039055787419264,0.032976532830482165,0.061742227948655186,0.49496443638874216,NaN,NaN,0.0817451813084337,0.5247748523884382,0.3111032729236015,0.5425633222177125,0.08335280616052035,0.5280611434540734,0.09702446972908199,0.4477484371319697
0.0,0.815,0.5,0.04200846652593044,0.24171499470604488,0.03648458169259962,0.34087510169586155,0.0646914516895225,0.4853027174936445,NaN,NaN,0.08213491937152174,0.5011535155948148,0.3187894341372358,0.5028022383590058,0.07806222634483716,0.41685247649293145,0.10372410267681605,0.452127246660997
