post_locs,post_phases,post_pks,pre_locs,pre_phases,pre_pks
201.72,0.21999999999999886,0.14678981106839753,180.53,0.5300000000000011,0.3636223922181162
202.95,0.44999999999998863,0.19847842311720043,181.53,0.5300000000000011,0.3581168290853244
203.99,0.4900000000000091,0.2611677006932532,182.53,0.5300000000000011,0.3531495209703451
205.01,0.5099999999999909,0.3029201317243206,183.53,0.5300000000000011,0.35684648198717944
206.02,0.5200000000000102,0.32424091175578723,184.54,0.539999999999992,0.34548838633941015
207.02,0.5200000000000102,0.3430725718753429,185.54,0.539999999999992,0.3502999152618111
208.03,0.5300000000000011,0.34406525506228414,186.53,0.5300000000000011,0.3494583925026226
209.03,0.5300000000000011,0.3513243759064023,187.52,0.5200000000000102,0.34964664777831567
210.03,0.5300000000000011,0.34967901502916865,188.53,0.5300000000000011,0.358766305559643
211.03,0.5300000000000011,0.35026673697471705,189.53,0.5300000000000011,0.36142692889434147
212.03,0.5300000000000011,0.34858791299820874,190.53,0.5300000000000011,0.3587961631335906
213.03,0.5300000000000011,0.3556296830357284,191.54,0.539999999999992,0.3580349622425768
214.04,0.539999999999992,0.3612620704926053,192.53,0.5300000000000011,0.3570779321578506
215.04,0.539999999999992,0.36115575118864773,193.53,0.5300000000000011,0.3519355832885687
216.03,0.5300000000000011,0.358931785346279,194.54,0.539999999999992,0.3593104200962553
217.03,0.5300000000000011,0.35018315618913354,195.53,0.5300000000000011,0.3543397984078299
218.03,0.5300000000000011,0.35505382384868206,196.53,0.5300000000000011,0.3574430726208987
219.03,0.5300000000000011,0.35269282631251925,197.53,0.5300000000000011,0.36356499041924595
220.03,0.5300000000000011,0.35468340577658686,198.54,0.539999999999992,0.35604839050719345
221.03,0.5300000000000011,0.3432127605990657,199.54,0.539999999999992,0.34411431211264626
