input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase,phase_coherence_n1,mean_phase_n1,phase_coherence_population_n1,collective_phase_n1,phase_coherence_n10,mean_phase_n10,phase_coherence_population_n10,collective_phase_n10,phase_coherence_n100,mean_phase_n100,phase_coherence_population_n100,collective_phase_n100
0.0,0.75,0.5,0.05426904834736862,0.33146312373199904,NaN,NaN,0.054269048347369925,0.3314631237320007,NaN,NaN,0.05426904834736854,0.3314631237319994,NaN,NaN,0.05426904834736862,0.3314631237319991,NaN,NaN
0.0,0.755,0.5,0.015590449438820542,0.700000000000579,NaN,NaN,0.0155904494388203,0.700000000000582,NaN,NaN,0.01559044943882058,0.700000000000579,NaN,NaN,0.015590449438820542,0.7000000000005792,NaN,NaN
0.0,0.76,0.5,0.02766939637720439,0.8270341706882028,NaN,NaN,0.027669396377205085,0.8270341706881954,NaN,NaN,0.02766939637720435,0.8270341706882034,NaN,NaN,0.02766939637720439,0.8270341706882027,NaN,NaN
0.0,0.765,0.5,0.009163836256759211,0.249999999999561,NaN,NaN,0.00916383625675913,0.2499999999995665,NaN,NaN,0.009163836256759208,0.24999999999956057,NaN,NaN,0.00916383625675921,0.24999999999956096,NaN,NaN
0.0,0.77,0.5,0.024491052178836983,0.14999999999973881,NaN,NaN,0.024491052178837312,0.1499999999997385,NaN,NaN,0.024491052178837024,0.14999999999973912,NaN,NaN,0.024491052178836983,0.14999999999973881,NaN,NaN
0.0,0.775,0.5,0.029260837688644122,0.6845732897693683,NaN,NaN,0.029260837688643647,0.6845732897693663,NaN,NaN,0.02926083768864408,0.6845732897693685,NaN,NaN,0.02926083768864412,0.6845732897693682,NaN,NaN
0.0,0.78,0.5,0.025075341938424152,0.8522307347359137,NaN,NaN,0.025075341938424405,0.8522307347359317,NaN,NaN,0.02507534193842414,0.8522307347359127,NaN,NaN,0.025075341938424152,0.8522307347359137,NaN,NaN
0.0,0.785,0.5,0.012875708098970146,0.8000000000002002,NaN,NaN,0.012875708098970316,0.8000000000001892,NaN,NaN,0.012875708098970118,0.8000000000002003,NaN,NaN,0.012875708098970148,0.8000000000002003,NaN,NaN
0.0,0.79,0.5,0.020408163265305375,0.2999999999999756,NaN,NaN,0.020408163265305118,0.29999999999997423,NaN,NaN,0.020408163265305427,0.2999999999999758,NaN,NaN,0.02040816326530537,0.2999999999999757,NaN,NaN
0.0,0.795,0.5,0.041666666666647804,0.3000000000001557,NaN,NaN,0.041666666666647915,0.300000000000158,NaN,NaN,0.04166666666664783,0.30000000000015614,NaN,NaN,0.041666666666647804,0.3000000000001557,NaN,NaN
0.0,0.8,0.5,0.02449105217879894,0.5499999999996921,NaN,NaN,0.024491052178799252,0.5499999999996866,NaN,NaN,0.024491052178798912,0.5499999999996917,NaN,NaN,0.024491052178798937,0.549999999999692,NaN,NaN
0.0,0.805,0.5,0.020833333333390745,0.49999999999976363,NaN,NaN,0.020833333333390353,0.49999999999976974,NaN,NaN,0.020833333333390765,0.4999999999997638,NaN,NaN,0.020833333333390745,0.49999999999976363,NaN,NaN
0.0,0.81,0.5,0.024491052178862934,0.049999999999894025,NaN,NaN,0.0244910521788632,0.04999999999989285,NaN,NaN,0.02449105217886287,0.0499999999998941,NaN,NaN,0.024491052178862934,0.049999999999894025,NaN,NaN
0.0,0.815,0.5,0.03004359091836348,0.20000000000009177,NaN,NaN,0.030043590918363873,0.20000000000009494,NaN,NaN,0.030043590918363505,0.2000000000000917,NaN,NaN,0.030043590918363484,0.20000000000009172,NaN,NaN
0.0,0.82,0.5,0.03962735484559564,0.35000000000039355,NaN,NaN,0.03962735484559516,0.35000000000039994,NaN,NaN,0.03962735484559554,0.350000000000393,NaN,NaN,0.039627354845595646,0.35000000000039355,NaN,NaN
0.0,0.825,0.5,0.03215337330057162,0.4378161734467747,NaN,NaN,0.03215337330057097,0.4378161734467765,NaN,NaN,0.032153373300571574,0.4378161734467747,NaN,NaN,0.032153373300571615,0.4378161734467748,NaN,NaN
0.0,0.83,0.5,0.03302110181121515,0.09999999999976543,NaN,NaN,0.033021101811215196,0.09999999999976668,NaN,NaN,0.033021101811215196,0.0999999999997653,NaN,NaN,0.03302110181121515,0.09999999999976542,NaN,NaN
0.0,0.835,0.5,0.048331384709535345,0.21542671023032578,NaN,NaN,0.048331384709534714,0.21542671023033014,NaN,NaN,0.048331384709535394,0.21542671023032545,NaN,NaN,0.048331384709535345,0.21542671023032578,NaN,NaN
0.0,0.84,0.5,0.0321533733005559,0.5621838265531931,NaN,NaN,0.03215337330055591,0.5621838265531844,NaN,NaN,0.0321533733005559,0.5621838265531944,NaN,NaN,0.0321533733005559,0.5621838265531931,NaN,NaN
0.0,0.845,0.5,0.03370904143229602,6.88647043976324e-14,NaN,NaN,0.03370904143229582,6.886470439763259e-14,NaN,NaN,0.03370904143229594,6.886470439763231e-14,NaN,NaN,0.03370904143229602,6.886470439763239e-14,NaN,NaN
0.0,0.85,0.5,0.03215337330059841,0.7378161734467432,NaN,NaN,0.0321533733005985,0.7378161734467337,NaN,NaN,0.03215337330059843,0.7378161734467441,NaN,NaN,0.03215337330059841,0.7378161734467433,NaN,NaN
0.0,0.855,0.5,0.020408163265289124,0.5000000000002248,NaN,NaN,0.020408163265289436,0.5000000000002272,NaN,NaN,0.020408163265289093,0.5000000000002255,NaN,NaN,0.020408163265289127,0.5000000000002248,NaN,NaN
0.0,0.86,0.5,0.012875708098979234,0.7999999999989519,NaN,NaN,0.012875708098979506,0.7999999999989388,NaN,NaN,0.012875708098979217,0.7999999999989511,NaN,NaN,0.01287570809897923,0.7999999999989519,NaN,NaN
0.0,0.865,0.5,0.020833333333364283,0.8999999999999938,NaN,NaN,0.02083333333336414,0.8999999999999834,NaN,NaN,0.020833333333364297,0.8999999999999925,NaN,NaN,0.020833333333364287,0.8999999999999938,NaN,NaN
0.0,0.87,0.5,0.0497909102899738,0.5422971643670408,NaN,NaN,0.04979091028997303,0.5422971643670313,NaN,NaN,0.04979091028997384,0.5422971643670418,NaN,NaN,0.049790910289973796,0.5422971643670407,NaN,NaN
0.0,0.875,0.5,0.029207992644315894,0.14171499470594676,NaN,NaN,0.029207992644316307,0.14171499470594914,NaN,NaN,0.02920799264431592,0.1417149947059465,NaN,NaN,0.029207992644315894,0.14171499470594678,NaN,NaN
0.0,0.88,0.5,5.684258584485803e-14,0.5675836530554691,NaN,NaN,5.684258584485754e-14,0.5675836530554709,NaN,NaN,5.684258584485796e-14,0.56758365305547,NaN,NaN,5.684258584485802e-14,0.5675836530554691,NaN,NaN
0.0,0.885,0.5,0.06280986810558381,0.45000000000014106,NaN,NaN,0.06280986810558313,0.4500000000001463,NaN,NaN,0.06280986810558374,0.45000000000014034,NaN,NaN,0.0628098681055838,0.45000000000014106,NaN,NaN
0.0,0.89,0.5,0.027669396377246188,0.1729658293118366,NaN,NaN,0.027669396377245966,0.1729658293118353,NaN,NaN,0.027669396377246122,0.1729658293118367,NaN,NaN,0.027669396377246185,0.1729658293118366,NaN,NaN
0.0,0.895,0.5,5.920208924266521e-14,0.0873567739414761,NaN,NaN,5.920208924266443e-14,0.08735677394147826,NaN,NaN,5.920208924266533e-14,0.08735677394147602,NaN,NaN,5.92020892426652e-14,0.0873567739414761,NaN,NaN
0.0,0.9,0.5,0.04385634983165697,0.6270341706878717,NaN,NaN,0.04385634983165688,0.6270341706878766,NaN,NaN,0.0438563498316569,0.6270341706878712,NaN,NaN,0.043856349831656975,0.6270341706878718,NaN,NaN
0.0,0.905,0.5,0.08394584268517444,0.44711847181741277,NaN,NaN,0.08394584268517316,0.44711847181741765,NaN,NaN,0.08394584268517427,0.447118471817412,NaN,NaN,0.08394584268517445,0.4471184718174127,NaN,NaN
0.0,0.91,0.5,3.334663660034305e-14,0.7798760841018642,NaN,NaN,3.3346636600343064e-14,0.7798760841018578,NaN,NaN,3.3346636600343064e-14,0.7798760841018634,NaN,NaN,3.334663660034306e-14,0.779876084101864,NaN,NaN
0.0,0.915,0.5,0.0337090414322575,0.8000000000001549,NaN,NaN,0.033709041432257114,0.8000000000001728,NaN,NaN,0.03370904143225758,0.8000000000001539,NaN,NaN,0.0337090414322575,0.800000000000155,NaN,NaN
0.0,0.92,0.5,0.06604220362245117,0.3000000000001083,NaN,NaN,0.06604220362245142,0.3000000000001065,NaN,NaN,0.06604220362245108,0.300000000000108,NaN,NaN,0.06604220362245117,0.30000000000010824,NaN,NaN
0.0,0.925,0.5,0.06010459465392336,0.9396720065820788,NaN,NaN,0.060104594653922074,0.9396720065820937,NaN,NaN,0.060104594653923364,0.9396720065820809,NaN,NaN,0.06010459465392336,0.939672006582079,NaN,NaN
0.0,0.93,0.5,0.027669396377244724,0.8729658293119488,NaN,NaN,0.027669396377244998,0.8729658293119592,NaN,NaN,0.027669396377244745,0.8729658293119502,NaN,NaN,0.027669396377244727,0.8729658293119489,NaN,NaN
0.0,0.935,0.5,0.0709610646500998,0.47296582931187015,NaN,NaN,0.0709610646500999,0.47296582931187386,NaN,NaN,0.07096106465009994,0.47296582931186976,NaN,NaN,0.07096106465009978,0.47296582931187015,NaN,NaN
0.0,0.94,0.5,0.08954004757291631,0.07296582931200468,NaN,NaN,0.08954004757291527,0.07296582931200488,NaN,NaN,0.08954004757291639,0.07296582931200478,NaN,NaN,0.08954004757291632,0.07296582931200468,NaN,NaN
0.0,0.945,0.5,0.03370904143238454,0.6000000000004017,NaN,NaN,0.033709041432384436,0.6000000000004025,NaN,NaN,0.033709041432384595,0.6000000000004008,NaN,NaN,0.03370904143238453,0.6000000000004018,NaN,NaN
0.0,0.95,0.5,0.06672313433330618,0.8250510312324634,NaN,NaN,0.06672313433330691,0.8250510312324526,NaN,NaN,0.06672313433330611,0.8250510312324625,NaN,NaN,0.06672313433330616,0.8250510312324633,NaN,NaN
0.0,0.955,0.5,0.12812752631984384,0.3184593664102671,NaN,NaN,0.12812752631984384,0.31845936641026934,NaN,NaN,0.12812752631984384,0.3184593664102666,NaN,NaN,0.12812752631984384,0.3184593664102672,NaN,NaN
0.0,0.96,0.5,0.05780802907901803,0.9430836351184841,NaN,NaN,0.057808029079019226,0.9430836351184785,NaN,NaN,0.05780802907901796,0.9430836351184838,NaN,NaN,0.05780802907901804,0.9430836351184839,NaN,NaN
0.0,0.965,0.5,0.033709041432218964,0.6000000000000016,NaN,NaN,0.03370904143221833,0.6000000000000129,NaN,NaN,0.03370904143221897,0.6000000000000015,NaN,NaN,0.03370904143221897,0.6000000000000015,NaN,NaN
0.0,0.97,0.5,0.1037457618700821,0.6500000000000362,NaN,NaN,0.10374576187008346,0.6500000000000464,NaN,NaN,0.10374576187008185,0.6500000000000355,NaN,NaN,0.10374576187008208,0.6500000000000361,NaN,NaN
0.0,0.975,0.5,0.212794969640977,0.25943908029096263,NaN,NaN,0.2127949696409798,0.2594390802909676,NaN,NaN,0.21279496964097752,0.2594390802909628,NaN,NaN,0.212794969640977,0.2594390802909627,NaN,NaN
0.0,0.98,0.5,0.18418251917468834,0.8680410143591478,NaN,NaN,0.18418251917468983,0.868041014359158,NaN,NaN,0.18418251917468834,0.868041014359149,NaN,NaN,0.18418251917468836,0.8680410143591477,NaN,NaN
0.0,0.985,0.5,0.054542374765057106,0.4999999999996927,NaN,NaN,0.054542374765056384,0.49999999999970207,NaN,NaN,0.054542374765057106,0.4999999999996939,NaN,NaN,0.05454237476505709,0.4999999999996927,NaN,NaN
0.0,0.99,0.5,0.21584318021616553,0.6055816247684371,NaN,NaN,0.21584318021616236,0.6055816247684339,NaN,NaN,0.21584318021616522,0.6055816247684386,NaN,NaN,0.2158431802161655,0.605581624768437,NaN,NaN
0.0,0.995,0.5,0.5346635060146943,0.21999942318230875,NaN,NaN,0.5346635060146844,0.2199994231823134,NaN,NaN,0.534663506014695,0.21999942318230847,NaN,NaN,0.5346635060146943,0.21999942318230875,NaN,NaN
0.0,1.0,0.5,0.8288469600127738,0.8405609197091931,NaN,NaN,0.828846960012783,0.8405609197092104,NaN,NaN,0.8288469600127735,0.8405609197091917,NaN,NaN,0.8288469600127739,0.840560919709193,NaN,NaN
0.0,1.005,0.5,0.9524500191254512,0.45861035235602077,1.0000000000000009,0.45861035235602077,0.9524500191254449,0.4586103523560162,1.0,0.4586103523560162,0.9524500191254505,0.4586103523560203,1.0,0.4586103523560203,0.952450019125451,0.4586103523560209,0.9999999999999998,0.4586103523560209
0.0,1.01,0.5,0.9525691395388906,0.10409240801279213,1.0000000000000013,0.10409240801279206,0.9525691395388998,0.10409240801279043,1.0,0.10409240801279043,0.952569139538891,0.10409240801279228,1.0,0.10409240801279228,0.9525691395388906,0.1040924080127921,1.0000000000000002,0.1040924080127921
0.0,1.015,0.5,0.7773380835955225,0.745230323042547,0.9999999999999972,-0.2547696769574531,0.7773380835955119,0.7452303230425377,1.0,-0.25476967695745867,0.7773380835955234,0.7452303230425481,1.0,-0.25476967695745256,0.7773380835955226,0.7452303230425469,1.0,-0.2547696769574529
