time,phase_shift
1.7763568394002505e-15,-0.01
0.034827586206898256,-0.04
0.06965517241379474,-0.07
0.10448275862069123,-0.1
0.1393103448275877,-0.12
0.1741379310344842,-0.16
0.20896551724138068,-0.18
0.24379310344827718,-0.22
0.2786206896551736,-0.25
0.31344827586207014,-0.28
0.3482758620689666,-0.33
0.3831034482758631,-0.35
0.4179310344827596,-0.39
0.45275862068965606,-0.44
0.4875862068965526,-0.48
0.5224137931034489,0.44
0.5572413793103455,0.41
0.5920689655172421,0.37
0.6268965517241385,0.33
0.661724137931035,0.3
0.6965517241379314,0.26
0.731379310344828,0.22
0.7662068965517245,0.18
0.8010344827586209,0.14
0.8358620689655174,0.11
0.8706896551724139,0.07
0.9055172413793103,0.04
0.9403448275862069,0.02
0.9751724137931034,0.0
1.0099999999999998,0.0
