time,phase_shift
3.552713678800501e-15,-0.040000000000000036
0.035862068965520764,-0.07000000000000028
0.07172413793103798,-0.08999999999999986
0.10758620689655518,-0.1299999999999999
0.1434482758620724,-0.16999999999999993
0.17931034482758962,-0.20000000000000018
0.2151724137931068,-0.23000000000000043
0.25103448275862406,-0.2600000000000007
0.28689655172414125,-0.29000000000000004
0.32275862068965844,-0.33999999999999986
0.3586206896551757,-0.3600000000000003
0.3944827586206929,-0.40000000000000036
0.43034482758621007,-0.4400000000000004
0.4662068965517273,-0.4800000000000004
0.5020689655172446,0.4500000000000002
0.5379310344827617,0.41999999999999993
0.5737931034482789,0.3799999999999999
0.6096551724137962,0.33999999999999986
0.6455172413793133,0.3099999999999996
0.6813793103448306,0.28000000000000025
0.7172413793103478,0.22999999999999954
0.753103448275865,0.20000000000000018
0.7889655172413822,0.15000000000000036
0.8248275862068994,0.11000000000000032
0.8606896551724166,0.07000000000000028
0.8965517241379338,0.03000000000000025
0.9324137931034511,0.0
0.9682758620689683,0.0
1.0041379310344856,-0.009999999999999787
1.0400000000000027,-0.04999999999999982
