periods,amplitudes
0.75,3.0
0.7550505050505051,3.0
0.76010101010101,3.0
0.7651515151515151,2.7890625
0.7702020202020202,3.0
0.7752525252525253,2.7890625
0.7803030303030303,3.0
0.7853535353535354,2.9765625
0.7904040404040404,3.0
0.7954545454545454,2.1796875
0.8005050505050505,3.0
0.8055555555555556,2.5078125
0.8106060606060606,2.4140625
0.8156565656565656,1.6640625
0.8207070707070707,2.2734375
0.8257575757575758,1.1953125
0.8308080808080808,2.7421875
0.8358585858585859,3.0
0.8409090909090909,1.2890625
0.8459595959595959,0.7265625
0.851010101010101,1.8515625
0.8560606060606061,1.1015625
0.8611111111111112,2.0859375
0.8661616161616161,0.7265625
0.8712121212121212,0.8203125
0.8762626262626263,0.6328125
0.8813131313131313,0.9140625
0.8863636363636364,0.7265625
0.8914141414141414,0.7734375
0.8964646464646465,0.7265625
0.9015151515151515,0.6796875
0.9065656565656566,0.7265625
0.9116161616161617,0.7734375
0.9166666666666666,0.6328125
0.9217171717171717,0.8671875
0.9267676767676768,0.6328125
0.9318181818181818,0.7265625
0.9368686868686869,0.5390625
0.9419191919191919,0.5859375
0.946969696969697,0.5859375
0.952020202020202,0.4453125
0.9570707070707071,0.5859375
0.9621212121212122,0.4453125
0.9671717171717171,0.5390625
0.9722222222222222,0.2578125
0.9772727272727273,0.5390625
0.9823232323232324,0.5390625
0.9873737373737373,0.3515625
0.9924242424242424,0.3515625
0.9974747474747475,0.5859375
1.0025252525252526,0.3515625
1.0075757575757576,0.3515625
1.0126262626262625,0.3984375
1.0176767676767677,0.2109375
1.0227272727272727,0.3984375
1.0277777777777777,0.3046875
1.0328282828282829,0.0
1.0378787878787878,0.3515625
1.042929292929293,0.2109375
1.047979797979798,0.0
1.053030303030303,0.3046875
1.0580808080808082,0.2109375
1.0631313131313131,0.0703125
1.0681818181818181,0.0
1.0732323232323233,0.0
1.0782828282828283,0.1171875
1.0833333333333333,0.0
1.0883838383838385,0.0
1.0934343434343434,0.2578125
1.0984848484848484,0.0
1.1035353535353536,0.0703125
1.1085858585858586,0.0
1.1136363636363635,0.2109375
1.1186868686868687,0.1640625
1.1237373737373737,0.2109375
1.128787878787879,0.3046875
1.1338383838383839,0.3046875
1.1388888888888888,0.0
1.143939393939394,0.7734375
1.148989898989899,0.3046875
1.154040404040404,0.3046875
1.1590909090909092,0.0
1.1641414141414141,0.1640625
1.1691919191919191,0.3984375
1.1742424242424243,0.3984375
1.1792929292929293,0.2578125
1.1843434343434343,0.2578125
1.1893939393939394,0.2578125
1.1944444444444444,0.4453125
1.1994949494949494,0.2578125
1.2045454545454546,0.3984375
1.2095959595959596,0.3984375
1.2146464646464648,0.3515625
1.2196969696969697,0.3515625
1.2247474747474747,0.5859375
1.22979797979798,0.2578125
1.2348484848484849,0.3046875
1.2398989898989898,0.2578125
1.244949494949495,0.3515625
1.25,0.4921875
